text,title,source,cluster_label,pca_dim_1,pca_dim_2
Jeremy Allen White Got Candid About Why He Asked Bruce Springsteen For A Little Bit Of Space While He Filmed Deliver Me From Nowhere Jeremy Allen White Got Candid About Why He Asked Bruce Springsteen For A Little Bit Of Space While He Filmed Deliver Me From Nowhere,Jeremy Allen White Got Candid About Why He Asked Bruce Springsteen For 'A Little Bit Of Space' While He Filmed Deliver Me From Nowhere,CinemaBlend,-1,-0.11780183,-0.006517274
"RFK Jr., The FDA, And Supplement Regulations RFK Jr., The FDA, And Supplement Regulations","RFK Jr., The FDA, And Supplement Regulations",NPR,-1,0.11684475,0.0052442793
"While wary of Trump s motives, some D.C. residents uneasily back parts of the National Guard deployment While wary of Trump s motives, some D.C. residents uneasily back parts of the National Guard deployment","While wary of Trump’s motives, some D.C. residents uneasily back parts of the National Guard deployment",PBS,-1,0.039829902,0.26249057
"F5, Inc. Investigated by the Portnoy Law Firm F5, Inc. Investigated by the Portnoy Law Firm","F5, Inc. Investigated by the Portnoy Law Firm",GlobeNewswire,-1,0.42585734,0.051089164
Arbaz Patel loses weight after reality show Rise and Fall says I wanted to reset physically and mentally Arbaz Patel loses weight after reality show Rise and Fall says I wanted to reset physically and mentally,Arbaz Patel loses weight after reality show Rise and Fall; says ‘I wanted to reset physically and mentally’,The Times of India,2,-0.34849656,-0.0882338
"How much does Alabama football GM Courtney Morgan make? Total pay, SEC salary rank How much does Alabama football GM Courtney Morgan make? Total pay, SEC salary rank","How much does Alabama football GM Courtney Morgan make? Total pay, SEC salary rank",USA Today,3,-0.20987396,0.042510986
"Pam Bondi Gives Trump Bad News When He Asks Her To Discuss Alleged Grand Jury Probe We Can t, Legally Pam Bondi Gives Trump Bad News When He Asks Her To Discuss Alleged Grand Jury Probe We Can t, Legally","Pam Bondi Gives Trump Bad News When He Asks Her To Discuss Alleged Grand Jury Probe: ‘We Can’t, Legally’",Mediaite,3,-0.101614505,0.30914128
Trump Federal deployment to San Francisco called off after conversation with mayor Trump Federal deployment to San Francisco called off after conversation with mayor,Trump: Federal deployment to San Francisco called off after conversation with mayor,CBS News,-1,-0.042626895,0.13881978
Josh Allen gets real on what the Buffalo Bills must fix following consecutive defeats this season Josh Allen gets real on what the Buffalo Bills must fix following consecutive defeats this season,Josh Allen gets real on what the Buffalo Bills must fix following consecutive defeats this season,The Times of India,-1,-0.23868197,0.046690006
GOP senator denounces Trump s pardon of crypto billionaire CZ Jasper Goodman Politico GOP senator denounces Trump s pardon of crypto billionaire CZ Jasper Goodman Politico,GOP senator denounces Trump's pardon of crypto billionaire CZ (Jasper Goodman/Politico),Memeorandum.com,4,0.34934953,0.44998732
"The 2025 NAB Show New York Wraps Spotlighting the Future of Media, Storytelling and the Creator Economy The 2025 NAB Show New York Wraps Spotlighting the Future of Media, Storytelling and the Creator Economy","The 2025 NAB Show New York Wraps: Spotlighting the Future of Media, Storytelling and the Creator Economy",GlobeNewswire,-1,0.47081694,0.026865026
Man Accused Samming Co Worker With Autism Out of Thousands in Greensburg Man Accused Samming Co Worker With Autism Out of Thousands in Greensburg,Man Accused Samming Co-Worker With Autism Out of Thousands in Greensburg,Freerepublic.com,-1,-0.097657666,0.16620885
"Apple users could get significant compensation say lawyers, after tech firm loses ruling Apple users could get significant compensation say lawyers, after tech firm loses ruling","Apple users could get 'significant' compensation say lawyers, after tech firm loses ruling",Sky.com,-1,0.0002773021,-0.17051786
What to know about brain aneurysms after Kim Kardashian s diagnosis What to know about brain aneurysms after Kim Kardashian s diagnosis,What to know about brain aneurysms after Kim Kardashian's diagnosis,NBC News,-1,-0.08650865,0.12445587
Virginia Becomes New Battleground In Redistricting War Virginia Becomes New Battleground In Redistricting War,Virginia Becomes New Battleground In Redistricting War,The Daily Caller,-1,-0.17472154,0.1169837
Andrew Cuomo Turns To Shockingly Racist Attacks On Zohran Mamdani In NYC Andrew Cuomo Turns To Shockingly Racist Attacks On Zohran Mamdani In NYC,Andrew Cuomo Turns To Shockingly Racist Attacks On Zohran Mamdani In NYC,HuffPost,3,-0.02963657,0.3622959
Carmen Argote s Maximalist Homage to Garment Workers Carmen Argote s Maximalist Homage to Garment Workers,Carmen Argote’s Maximalist Homage to Garment Workers,Hyperallergic,-1,-0.04358375,0.12443685
"Colorado driver in New Jersey crash that killed 4 was nearly 3 times over legal limit for alcohol, police say Colorado driver in New Jersey crash that killed 4 was nearly 3 times over legal limit for alcohol, police say","Colorado driver in New Jersey crash that killed 4 was nearly 3 times over legal limit for alcohol, police say",The Denver Post,-1,-0.21909511,0.048423722
"Airborne Flight Training 10.23.25 PanAm Back?, Spirit Cuts, Affordable Expo Airborne Flight Training 10.23.25 PanAm Back?, Spirit Cuts, Affordable Expo","Airborne-Flight Training 10.23.25: PanAm Back?, Spirit Cuts, Affordable Expo",Aero-news.net,-1,0.110357895,-0.19312844
"Warships, fighter jets and the CIA what is Trump s endgame in Venezuela? Warships, fighter jets and the CIA what is Trump s endgame in Venezuela?","Warships, fighter jets and the CIA - what is Trump's endgame in Venezuela?",BBC News,-1,-0.115754455,-0.0016841933
"TRONOX CLASS ACTION ALERT Bragar Eagel Squire, P.C. Urgently Reminds Tronox Investors of the November 3rd Deadline in the Filed Class Action TRONOX CLASS ACTION ALERT Bragar Eagel Squire, P.C. Urgently Reminds Tronox Investors of the November 3rd Deadline in the Filed Class Action","TRONOX CLASS ACTION ALERT: Bragar Eagel & Squire, P.C. Urgently Reminds Tronox Investors of the November 3rd Deadline in the Filed Class Action",GlobeNewswire,0,0.53008807,-0.20253626
The Fourth Edition of The MICHELIN Guide Abu Dhabi Has Been Launched The Fourth Edition of The MICHELIN Guide Abu Dhabi Has Been Launched,The Fourth Edition of The MICHELIN Guide Abu Dhabi Has Been Launched,GlobeNewswire,-1,0.41417864,-0.12734354
Nike designed new gear to keep athletes cool in a warming world Nike designed new gear to keep athletes cool in a warming world,Nike designed new gear to keep athletes cool in a warming world,The Verge,-1,-0.039474834,-0.05894879
Required Reading Required Reading,Required Reading,Hyperallergic,-1,-0.11282854,-0.015715627
"DOW CLASS ACTION ALERT Bragar Eagel Squire, P.C. Urgently Reminds Dow Investors of the October 28th Deadline in the Filed Class Action DOW CLASS ACTION ALERT Bragar Eagel Squire, P.C. Urgently Reminds Dow Investors of the October 28th Deadline in the Filed Class Action","DOW CLASS ACTION ALERT: Bragar Eagel & Squire, P.C. Urgently Reminds Dow Investors of the October 28th Deadline in the Filed Class Action",GlobeNewswire,0,0.5605341,-0.202144
We Will Not Surge Trump Pulls Back On Plan For Crime Ridden City We Will Not Surge Trump Pulls Back On Plan For Crime Ridden City,‘We Will Not Surge’: Trump Pulls Back On Plan For Crime-Ridden City,The Daily Caller,-1,-0.23941372,0.17662005
"Bethesda Announces Fallout 4 Anniversary Edition, Confirms Nintendo Switch 2 Version for 2026 Bethesda Announces Fallout 4 Anniversary Edition, Confirms Nintendo Switch 2 Version for 2026","Bethesda Announces Fallout 4 Anniversary Edition, Confirms Nintendo Switch 2 Version for 2026",IGN,1,0.13836901,-0.3207418
Trump says he s backing off threats to send federal troops to San Francisco Trump says he s backing off threats to send federal troops to San Francisco,Trump says he's backing off threats to send federal troops to San Francisco,NBC News,3,0.0018777768,0.33968234
The nonviolence resulted from the organizers message The nonviolence resulted from the organizers message,‘The nonviolence resulted from the organizers’ message’,The Week Magazine,-1,-0.12055581,-0.002736815
"As Blue Jay ticket prices soar, Ontario NDP looks to table legislation banning resale markups As Blue Jay ticket prices soar, Ontario NDP looks to table legislation banning resale markups","As Blue Jay ticket prices soar, Ontario NDP looks to table legislation banning resale markups",CBC News,-1,-0.07513142,0.11994479
Letitia James Launches Portal to Dox ICE Agents Letitia James Launches Portal to Dox ICE Agents,Letitia James Launches Portal to Dox ICE Agents,Freerepublic.com,-1,-0.15389967,0.0026905811
Λευκός Οίκος Ο Τραμπ θα συναντήσει την επόμενη εβδομάδα τον Σι Τζινπίνγκ Λευκός Οίκος Ο Τραμπ θα συναντήσει την επόμενη εβδομάδα τον Σι Τζινπίνγκ,Λευκός Οίκος: Ο Τραμπ θα συναντήσει την επόμενη εβδομάδα τον Σι Τζινπίνγκ,Skai.gr,-1,-0.017349357,-0.06778476
Lost Democrats find identity crisis in left vs center Amie Parnes The Hill Lost Democrats find identity crisis in left vs center Amie Parnes The Hill,Lost Democrats find identity crisis in left vs center (Amie Parnes/The Hill),Memeorandum.com,-1,0.22240616,0.4080149
"Straciłby poparcie . Trump straszył Netanjahu, Izrael zaczął procedurę Straciłby poparcie . Trump straszył Netanjahu, Izrael zaczął procedurę","""Straciłby poparcie"". Trump straszył Netanjahu, Izrael zaczął procedurę",Interia.pl,-1,-0.06500691,0.036586676
Dress Like Your Miracle Is Not Spooky Nathaniel Bassey Addresses Hallelujah Challenge Followers Dress Like Your Miracle Is Not Spooky Nathaniel Bassey Addresses Hallelujah Challenge Followers,“Dress Like Your Miracle Is Not Spooky”: Nathaniel Bassey Addresses Hallelujah Challenge Followers,Latest News in Nigeria & Breaking Naija News 24/7 | LEGIT.NG,-1,-0.13764732,0.0673992
Google Store is now selling replacement Pixel Buds and parts Google Store is now selling replacement Pixel Buds and parts,Google Store is now selling replacement Pixel Buds and parts,MobileSyrup,-1,0.10134286,-0.314663
"Trump indulta a Changpeng Zhao, fundador de la plataforma de criptomonedas Binance que fue condenado por blanqueo de dinero Trump indulta a Changpeng Zhao, fundador de la plataforma de criptomonedas Binance que fue condenado por blanqueo de dinero","Trump indulta a Changpeng Zhao, fundador de la plataforma de criptomonedas Binance que fue condenado por blanqueo de dinero",BBC News,-1,-0.04514956,-0.048891578
California Trucker accused of fatal multi car crash identified as illegal immigrant California Trucker accused of fatal multi car crash identified as illegal immigrant,California: Trucker accused of fatal multi-car crash identified as illegal immigrant,Freerepublic.com,-1,-0.19909936,0.10888682
"Curator Carla Stellweg, Visionary of Latin American Art, Dies at 83 Curator Carla Stellweg, Visionary of Latin American Art, Dies at 83","Curator Carla Stellweg, Visionary of Latin American Art, Dies at 83",Hyperallergic,-1,0.08770059,0.012395581
"People pardoned by Trump want banks to forgive their past, too People pardoned by Trump want banks to forgive their past, too","People pardoned by Trump want banks to forgive their past, too",Biztoc.com,3,-0.13468312,0.22240894
"BNB, World Liberty, Meme Coins Jump After Trump Pardons Binance Founder BNB, World Liberty, Meme Coins Jump After Trump Pardons Binance Founder","BNB, World Liberty, Meme Coins Jump After Trump Pardons Binance Founder",Decrypt,-1,0.143138,0.07905241
"LIFEMD CLASS ACTION REMINDER Bragar Eagel Squire, P.C. Urgently Reminds Investors of the October 27th Deadline in the Filed Class Action LIFEMD CLASS ACTION REMINDER Bragar Eagel Squire, P.C. Urgently Reminds Investors of the October 27th Deadline in the Filed Class Action","LIFEMD CLASS ACTION REMINDER: Bragar Eagel & Squire, P.C. Urgently Reminds Investors of the October 27th Deadline in the Filed Class Action",GlobeNewswire,0,0.55013585,-0.20366932
Times Square New Year s Eve ball might look a bit different this year. Here s why. Times Square New Year s Eve ball might look a bit different this year. Here s why.,Times Square New Year’s Eve ball might look a bit different this year. Here’s why.,The-independent.com,-1,0.029973103,0.07452848
"A Pile of Rubble After 123 Years, the East Wing Is Gone Elisabeth Bumiller New York Times A Pile of Rubble After 123 Years, the East Wing Is Gone Elisabeth Bumiller New York Times","A Pile of Rubble: After 123 Years, the East Wing Is Gone (Elisabeth Bumiller/New York Times)",Memeorandum.com,4,0.32976273,0.3669233
"Trump Demands 230 Million, Poops on Protestors, Razes White House Trump Demands 230 Million, Poops on Protestors, Razes White House","Trump Demands $230 Million, Poops on Protestors, & Razes White House",Slate Magazine,-1,0.18097714,0.35814342
Urban Meyer explains why Lincoln Riley is safe at Southern Cal Urban Meyer explains why Lincoln Riley is safe at Southern Cal,Urban Meyer explains why Lincoln Riley is 'safe' at Southern Cal,Sporting News,-1,-0.18870531,0.06768924
Prolific Kovacevic key as Celje defeat Shamrock Rovers Prolific Kovacevic key as Celje defeat Shamrock Rovers,Prolific Kovacevic key as Celje defeat Shamrock Rovers,RTE,-1,-0.13592756,-0.06380649
Updated MDNA11 Clinical Data from the ABILITY 1 Study to be Presented at the European Society for Medical Oncology ESMO Immuno Oncology Congress 2025 Updated MDNA11 Clinical Data from the ABILITY 1 Study to be Presented at the European Society for Medical Oncology ESMO Immuno Oncology Congress 2025,Updated MDNA11 Clinical Data from the ABILITY-1 Study to be Presented at the European Society for Medical Oncology (ESMO) Immuno-Oncology Congress 2025,GlobeNewswire,-1,0.3661458,-0.27367383
Willing to Do What It Takes UAW Volkswagen Workers in Chattanooga Call Strike Vote Willing to Do What It Takes UAW Volkswagen Workers in Chattanooga Call Strike Vote,'Willing to Do What It Takes': UAW Volkswagen Workers in Chattanooga Call Strike Vote,Common Dreams,-1,-0.040866602,0.16609178
"Trump pardons founder of crypto exchange Binance, who pleaded guilty to enabling money laundering Trump pardons founder of crypto exchange Binance, who pleaded guilty to enabling money laundering","Trump pardons founder of crypto exchange Binance, who pleaded guilty to enabling money laundering",CBS News,-1,0.18396623,0.14056301
Hurricane Melissa takes aim at Jamaica Hurricane Melissa takes aim at Jamaica,Hurricane Melissa takes aim at Jamaica,Biztoc.com,-1,-0.18226177,0.04799981
"DAVID BLACKMON Promises Made, Promises Kept On ANWR DAVID BLACKMON Promises Made, Promises Kept On ANWR","DAVID BLACKMON: Promises Made, Promises Kept On ANWR",The Daily Caller,-1,-0.14439987,0.055025365
MAHA s moment to prove itself The 2026 midterms MAHA s moment to prove itself The 2026 midterms,MAHA’s moment to prove itself: The 2026 midterms,Wnd.com,-1,0.10998126,-0.25531915
Bruins notebook Viktor Arvidsson breaks the ice Bruins notebook Viktor Arvidsson breaks the ice,Bruins notebook: Viktor Arvidsson breaks the ice,Boston Herald,-1,-0.15447423,-0.0135613885
Alabama football shows immense trust in Germie Bernard in win over USC Goodbread Alabama football shows immense trust in Germie Bernard in win over USC Goodbread,Alabama football shows immense trust in Germie Bernard in win over USC | Goodbread,Tuscaloosa News,3,-0.18251406,0.0034039356
Tether Projected To Hit 15 Billion Profit In 2025 Report Tether Projected To Hit 15 Billion Profit In 2025 Report,Tether Projected To Hit $15 Billion Profit In 2025 – Report,Bitcoinist,-1,0.21091656,-0.26497647
"Federal immigration agents deploy tear gas on Northwest Side streets as Chicagoans bellow, Get out of our city! Chicago Tribune Federal immigration agents deploy tear gas on Northwest Side streets as Chicagoans bellow, Get out of our city! Chicago Tribune","Federal immigration agents deploy tear gas on Northwest Side streets as Chicagoans bellow, 'Get out of our city!' (Chicago Tribune)",Memeorandum.com,4,0.22051677,0.41074535
University walks off Eaton for Class 3A softball title in another epic showdown between Patriot League rivals University walks off Eaton for Class 3A softball title in another epic showdown between Patriot League rivals,University walks-off Eaton for Class 3A softball title in another epic showdown between Patriot League rivals,The Denver Post,-1,-0.20352325,-0.017196877
Pittsburgh Panthers freshman Mason Heintschel throws for crazy passing yardage total on career day Pittsburgh Panthers freshman Mason Heintschel throws for crazy passing yardage total on career day,Pittsburgh Panthers' freshman Mason Heintschel throws for crazy passing yardage total on career day,Sporting News,3,-0.23242734,0.054620206
Gabbard details arrest of cartel baby trafficker who was selling newborn babies Gabbard details arrest of cartel baby trafficker who was selling newborn babies,Gabbard details arrest of cartel 'baby trafficker' who was selling newborn babies,Freerepublic.com,-1,-0.13888037,0.14075994
Alberta unions urge provincial government not to use notwithstanding clause in back to work legislation Alberta unions urge provincial government not to use notwithstanding clause in back to work legislation,Alberta unions urge provincial government not to use notwithstanding clause in back-to-work legislation,CBC News,-1,-0.08400287,0.08619484
Alabama football survives unexpected road test vs South Carolina Postgame grades Alabama football survives unexpected road test vs South Carolina Postgame grades,Alabama football survives unexpected road test vs South Carolina: Postgame grades,Tuscaloosa News,3,-0.23017687,-0.023289284
Sudan s fertile region where food is rotting amid famine and war Sudan s fertile region where food is rotting amid famine and war,Sudan's fertile region where food is rotting amid famine and war,BBC News,-1,-0.18732318,-0.054681577
The Only Piece of Advice People Who Want to Go to Grad School Need to Hear Right Now The Only Piece of Advice People Who Want to Go to Grad School Need to Hear Right Now,The Only Piece of Advice People Who Want to Go to Grad School Need to Hear Right Now,Slate Magazine,-1,-0.18287748,-0.068165995
"Darren Bailey s Son, Grandchildren Among Those Deceased In Tragic Helicopter Crash Darren Bailey s Son, Grandchildren Among Those Deceased In Tragic Helicopter Crash","Darren Bailey’s Son, Grandchildren Among Those Deceased In Tragic Helicopter Crash",The Daily Caller,-1,-0.1935085,0.03270048
2026 Senate Overview 2026 Senate Overview,2026 Senate Overview,Politicalwire.com,-1,0.15055871,0.06608494
Republicans Are Trying to Make Fascism Edgy and Hip Republicans Are Trying to Make Fascism Edgy and Hip,Republicans Are Trying to Make Fascism Edgy and Hip,Common Dreams,-1,-0.108860984,0.29672784
WATCH Failed Democrat Candidate Is Accused of Stealing Georgia Power Trade Secrets WATCH Failed Democrat Candidate Is Accused of Stealing Georgia Power Trade Secrets,WATCH: Failed Democrat Candidate Is Accused of Stealing Georgia Power Trade Secrets,Breitbart News,3,0.0036891291,0.3239622
Takaichi said to arrange phone call with Trump on Saturday Takaichi said to arrange phone call with Trump on Saturday,Takaichi said to arrange phone call with Trump on Saturday,Biztoc.com,-1,-0.106806494,0.2426227
"How Kristen Bell, Dax Shepard Navigate the Ebb Flow of Marriage How Kristen Bell, Dax Shepard Navigate the Ebb Flow of Marriage","How Kristen Bell, Dax Shepard Navigate the ""Ebb"" & ""Flow"" of Marriage",Eonline.com,-1,-0.038360808,0.0045746267
The Rules of Investing Just Changed Are You Ready? The Rules of Investing Just Changed Are You Ready?,The Rules of Investing Just Changed — Are You Ready?,Biztoc.com,-1,-0.098297335,-0.021455865
Telix Pharmaceuticals Limited Investigated by the Portnoy Law Firm Telix Pharmaceuticals Limited Investigated by the Portnoy Law Firm,Telix Pharmaceuticals Limited Investigated by the Portnoy Law Firm,GlobeNewswire,0,0.44753477,-0.19430442
"Functionally extinct After 10,000 years on the Florida coast, two key corals are dead Functionally extinct After 10,000 years on the Florida coast, two key corals are dead","'Functionally extinct': After 10,000 years on the Florida coast, two key corals are dead",NBC News,-1,-0.057941135,-0.013204232
How Citywest scenes are drawing the attention of far right media and influencers How Citywest scenes are drawing the attention of far right media and influencers,How Citywest scenes are drawing the attention of far-right media and influencers,TheJournal.ie,-1,0.10487384,0.24929355
Pool crunch coming for Prince George as aquatic centre set to close for 2 years Pool crunch coming for Prince George as aquatic centre set to close for 2 years,Pool crunch coming for Prince George as aquatic centre set to close for 2 years,CBC News,-1,-0.18580382,-0.08382366
PUBG maker Krafton is turning into an AI first developer PUBG maker Krafton is turning into an AI first developer,PUBG maker Krafton is turning into an ‘AI first’ developer,The Verge,1,0.13672885,-0.3846923
Selena Gomez Hits the Lights in In The Dark Music Video! Selena Gomez Hits the Lights in In The Dark Music Video!,Selena Gomez Hits the Lights in “In The Dark” Music Video!,Egotastic.com,-1,-0.13899878,-0.019997437
We re not going anywhere Texas A M HC Mike Elko s wife shuts down Penn State connection We re not going anywhere Texas A M HC Mike Elko s wife shuts down Penn State connection,'We're not going anywhere': Texas A&M HC Mike Elko's wife shuts down Penn State connection,USA Today,-1,-0.20084776,0.091866225
Amaze ball Time Square unveils fresh NYE celebration station Amaze ball Time Square unveils fresh NYE celebration station,Amaze ball: Time Square unveils fresh NYE celebration station,New York Post,-1,0.07730978,0.084689304
"How much does Clemson football GM Jordan Sorrells make? Total pay, buyout, ACC salary rank How much does Clemson football GM Jordan Sorrells make? Total pay, buyout, ACC salary rank","How much does Clemson football GM Jordan Sorrells make? Total pay, buyout, ACC salary rank",USA Today,3,-0.19470745,0.013439542
"Over 6,000 voters deleted for Rs 80 each in Aland Karnataka SIT Over 6,000 voters deleted for Rs 80 each in Aland Karnataka SIT","Over 6,000 voters deleted for Rs 80 each in Aland: Karnataka SIT",The Times of India,2,-0.2968734,-0.09554025
Florida mayor predicts substantial exodus of NYC businesses if Mamdani wins Florida mayor predicts substantial exodus of NYC businesses if Mamdani wins,Florida mayor predicts 'substantial exodus' of NYC businesses if Mamdani wins,Freerepublic.com,-1,-0.15286668,0.17830484
Hamas and rivals Fatah meet in Egypt to discuss future of Gaza Hamas and rivals Fatah meet in Egypt to discuss future of Gaza,Hamas and rivals Fatah meet in Egypt to discuss future of Gaza,TheJournal.ie,-1,-0.044025157,0.049311504
"The Adam Schiff criminal probe has stalled, sources say NBC News The Adam Schiff criminal probe has stalled, sources say NBC News","The Adam Schiff criminal probe has stalled, sources say (NBC News)",Memeorandum.com,4,0.2922054,0.34773892
Stephen A. Smith Claims Trump Plotting Revenge On Sports Leagues That Crossed Him Stephen A. Smith Claims Trump Plotting Revenge On Sports Leagues That Crossed Him,Stephen A. Smith Claims Trump Plotting Revenge On Sports Leagues That Crossed Him,The Daily Caller,3,-0.0844969,0.27974695
"Comedian Lasisi Elenu, Wife Welcome Baby Boy, Newborn s Name Leaves People Talking NSPPD Baby Comedian Lasisi Elenu, Wife Welcome Baby Boy, Newborn s Name Leaves People Talking NSPPD Baby","Comedian Lasisi Elenu, Wife Welcome Baby Boy, Newborn's Name Leaves People Talking: ""NSPPD Baby""",Latest News in Nigeria & Breaking Naija News 24/7 | LEGIT.NG,2,-0.31022534,-0.08351041
The new face of British leather how regenerative farming is reshaping fashion The new face of British leather how regenerative farming is reshaping fashion,The new face of British leather – how regenerative farming is reshaping fashion,The-independent.com,-1,0.07243676,-0.103849195
Ex CNN Analyst Warns Jasmine Crockett Could Hand Texas Senate Seat To GOP Ex CNN Analyst Warns Jasmine Crockett Could Hand Texas Senate Seat To GOP,Ex-CNN Analyst Warns Jasmine Crockett Could Hand Texas Senate Seat To GOP,The Daily Caller,-1,-0.051217154,0.360194
Johnny Depp Reportedly in Talks to Play Mean Old Man Johnny Depp Reportedly in Talks to Play Mean Old Man,Johnny Depp Reportedly in Talks to Play Mean Old Man,Vulture,-1,-0.19227573,0.0063178465
New York City Mayor Eric Adams backs Andrew Cuomo in the race to succeed him Katherine Koretski NBC News New York City Mayor Eric Adams backs Andrew Cuomo in the race to succeed him Katherine Koretski NBC News,New York City Mayor Eric Adams backs Andrew Cuomo in the race to succeed him (Katherine Koretski/NBC News),Memeorandum.com,4,0.26517436,0.40459502
New book details infighting behind Trump s obviously unqualified cabinet picks David Smith The Guardian New book details infighting behind Trump s obviously unqualified cabinet picks David Smith The Guardian,New book details infighting behind Trump's 'obviously unqualified' cabinet picks (David Smith/The Guardian),Memeorandum.com,-1,0.26544148,0.30939558
